m.moviename,r.movieid,r.rate
"Crying Game, The (1992)",1094,5.0
Trust (1990),1236,5.0
Annie Hall (1977),1230,5.0
Reservoir Dogs (1992),1089,5.0
"Godfather: Part II, The (1974)",1221,5.0
Badlands (1973),3741,5.0
And Now for Something Completely Different (1971),2788,5.0
"Sound of Music, The (1965)",1035,5.0
Naked (1993),501,5.0
Metropolitan (1990),1966,5.0
"City of Lost Children, The (1995)",29,5.0
Cabaret (1972),3545,5.0
Swimming with Sharks (1995),322,5.0
Living in Oblivion (1995),176,5.0
Shallow Grave (1994),319,5.0
Crumb (1994),162,5.0
Three Colors: Blue (1993),307,5.0
Three Colors: Red (1994),306,5.0
Buffalo 66 (1998),1916,5.0
"Big Lebowski, The (1998)",1732,5.0
Singin' in the Rain (1952),899,5.0
Topsy-Turvy (1999),3163,5.0
City Lights (1931),3307,5.0
"Stepford Wives, The (1975)",2346,5.0
Hands on a Hard Body (1996),2330,5.0
"Godfather, The (1972)",858,5.0
Sweet and Lowdown (1999),3129,5.0
"Thin Blue Line, The (1988)",1189,5.0
"Wrong Trousers, The (1993)",1148,5.0
Fargo (1996),608,5.0
White Christmas (1954),3675,5.0
Blazing Saddles (1974),3671,5.0
"Hard Day's Night, A (1964)",2863,5.0
"Professional, The (a.k.a. Leon: The Professional) (1994)",293,5.0
"Gold Rush, The (1925)",3629,5.0
Star Wars: Episode IV - A New Hope (1977),260,5.0
Modern Times (1936),3462,5.0
Death and the Maiden (1994),229,5.0
Creature Comforts (1990),3429,5.0
"Fast, Cheap & Out of Control (1997)",1649,5.0
"House of Yes, The (1997)",1648,5.0
"African Queen, The (1951)",969,5.0
"Shop Around the Corner, The (1940)",3097,5.0
His Girl Friday (1940),951,5.0
Holiday Inn (1942),3061,5.0
All About Eve (1950),926,5.0
2001: A Space Odyssey (1968),924,5.0
Waiting for Guffman (1996),1449,5.0
Some Like It Hot (1959),910,5.0
It Happened One Night (1934),905,5.0
Rear Window (1954),904,5.0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),750,5.0
Lady and the Tramp (1955),2080,5.0
"Close Shave, A (1995)",745,5.0
Night on Earth (1991),1279,5.0
"Jungle Book, The (1967)",2078,5.0
Roger & Me (1989),2064,5.0
Being John Malkovich (1999),2997,5.0
Duck Soup (1933),1256,5.0
